לא יפה לך להתבטא כ בצורה כזאת הבחור ענה לך ללא ירידה לפסים אישיים אני מצפה שתתנצל.,0
"  בנט הוא התלמיד של נתניהו, הוא למד ממנו הכול, זה נבלה וזה טריפה  אבל בשביל להוריד נבלה, צריך טריפה  בסה""כ נרוויח כפול, שניהם יאכלו אחד את השני  ולזה כנראה אין חיסון מתאים",0
בנט לא פונקציה לידו ביבי מנהיג ברמה עולמית לא יכלו לנצח אותו בקלפי אז גייסו את התקשורת הפרקליטות וטייקונים מאוכזבים שמוכנים לשלם הרבה כסף על מחאות של השמאל,0
מה יש לשתף חתיכת אפס מאופס אתם אות קלון אתם בהמות אנשים שצריכים ללכת עם הראש באדמה חתיכת חוצפן מה שסבתא שלי עברה בשביל להקים את המדינה הזאת לא בשביל חיות אדם וחינוך הפוך שאתה והחבורה שלך סוגדים לה לך כבר לקיבינימאט עם הביבי שלך,0
מה קרהה פתאום אין קורונה לא? למה מאריכים את התו הירוק? פושעים עלובים הכל תעשו כדי להתחייב למכסה הזריקות לפייזר,2
עתיד ללא כפיית חיסונים והפצת מידע רפואי חסוי בחסות הממשלה,1
יוצא מן הכלל! נקווה שהניתוח שלך יישאר בתוקף מתחילתו ועד סופו.,0
"+כן כן.. אישתי גם היתה ממתנגדי החיסונים.. ואז 😭 -אוי, לא. היא מתה מהמחלה? +לא ממש -אז מה קרה לה שאתה מספיד אותה? +התגרשנו",1
"בני גנץ, הציוץ הזה מוקדש לך",0
אומנם מנצ׳סטר מושלגת אבל בסיטי לוהט!!!   קון אגוארו חזר אתמול להתאמן עם הקבוצה אחרי תקופה ארוכה שבה היה פצוע וחלה בקורונה!   אגוארו מחלים ומתחיל לחזור לאט לאט לכושר.   אז מה דעתכם?  קון צריך לפתוח בהרכב כבר נגד סוונסי מחר בגביע? או לתת לו זמן התאקלמות ולשלב אותו בזהירות בהמשך ?,1
"לא הלויה חרדית, לא חתונה ערבית. הערב זו הפגנה חילונית. בבנימינה. איפה הריחוק, איפה המסיכות. העיקר שקילומטר משם אמפי שוני ושם עפ התקנות אי אפשר בינתיים לפתוח.",1
"רדיפה אישית שיוצאת מבית ראש הממשלה, כלפי אזרחים. פאשיזם⚠️",0
מדביקים ונדבקים על קידוש השם,0
שישלמו לפייזר או למודרנה במקום לרוצחים.,2
אם את קוראת הכל בטח יצא לך להסתכל על מאגר התופעות לוואי שפורסם בבריטניה  ואת המאגר של ארה״ב vaers... חיסון ״בטוח לגמרי״ הוא בוודאות לא.,2
אתה יודע אנגלית ?? שוב הלכת לעשות לעם ישראל בושות חחחח אתה בדיחה מתי תבין את זה,0
"  לא נקודה לא בזמן חירום!  ביקורת ולעבור הלאה, להראות את המדינה בוערת ע""י הצד השני. הלקאה על חטא נקודתי וביקורת נוקבת - אחרי המלחמה!",0
"תמיד הערכתי את ראש הממשלה נתניהו ואת יכולותיו, אבל לא דמיינתי שהוא יביא הצלחה כזו גדולה עם החיסונים בניגוד לשאר מדינות העולם, כעת כשהאתגר העולמי הבא הוא בטחון כלכלי, אין יותר מתאים מנתניהו לצלוח אתגר כזה.  כמו תמיד, גאה להצביע לנתניהו. סוס מנצח לא מחליפים. מחל.",0
"פרופ ' גרוסמן יו""ר איגוד רופאי הילדים, האיש שמופקד על בריאות ילדנו דוחף לחסן גם ילדים שהחלימו טוען שאין בזה סיכון, למה? מה מניע אותך פרופ' גרוסמן? מה מניע אותך לחסן ילדים גם ילדים מחלימים בחיסון ניסיוני באישור חירום למחלה שאינה מסוכנת לילדים? למה?",2
רק אומר שב22 אני מקבל חיסון שני  שזה אומר שבראשון למרץ אני מחוסן מחוסן או חסן.. חחחח,1
"הצטרפו לשידור החי מטקס ההוקרה לאנשי מערכת הבריאות ולגופים השותפים על תרומתם למאבק בנגיף הקורונה, בהשתתפות ראש הממשלה בנימין נתניהו ושר הבריאות יולי אדלשטיין.",1
"לא הציל ולא נעליים. יבא הנבל מבלפור קורונה גם בגופות מחו""ל. שירקב בכלא ויפה שעה קודם.",0
אבל איך היה עם הילדים הזועפים ביומולדת? ויש לי חברים שנשבעים בגאג'ט הזה:,0
לכל המטופלים עם ההתנהגויות הרפטטיביות ההרסניות: כל פעם שאתם עושים משהו פרודוקטיבי זה מרים אותנו מילימטר משפל המדרגה אליו נקלענו בקורונה. אז קדימה. קצת שליטה עצמית.,1
"אני יכול להעיד על עצמי ועל מי שאני מכיר שהחלימו מקורונה. כולם עברו את זה קל. כמה מהם לא ידעו כלל שהם חולים ורק הבדיקות הראו מחלה.  כמו בכל מחלה, יש כאלה שלא ישרדו. כל דבר שקשור בגוף עלול להסתבך ואף אחד לא מבטיח שום דבר. אין 100 אחוז ודאות וזה מופרך לצפות לזה.",1
"יש מבצע אגב, קנה ארבע מסכות, וקבל כובע נייר כסף נגד 5G בחינם! לוקחת?",2
נתניהו הוא בוגד מסוכן לישראל,0
"חיסול כוח הגרעין האיראני- ""חרחור מלחמה להמנע ממשפט"" חיסון ישראל ממגפה עולמית: תשלום מופרז לחברה מסחרית לא רץ מהר מספיק להגיש תלונה על שאיל תקשורת סוחט אותו -  שוחד מרמה והפרת אמונים 30 מנדטים בבחירות - הפסד   אתם מבינים כמה אתם מטומטמים?",0
שתישרף המדינה עם כל הנוכלים הרשעים,0
ועד כיתה לא הייתה נותנת לה,0
"ח""כ  מצטט את רה""מ  ושואל את פרויקטור הקורונה: ""מה דעתך על התופעה שהערבים נמצאים בכל מקום בעיר ערבית"" ",0
איך מי שכל הזמן תומך ב/ נתמך על ידי הומופובים ירפא קרע ? 🤔,0
"וברצינות, מסעדות יקפידו על מרחקים בין שולחנות. צוות עם מסיכות. היגיינה ביתר שאת. אלכוג׳ל. וכו. נראה לי שהציבור מבין מה ואיפה ומי. לא מאמין שמישהו יבקש תעודת חיסון או דרכון ירוק.",1
"ד״ר גליה ברקאי מתל השומר: ילדים לא נפגעים מהוירוס, החיים שלהם נהרסים מהסגרים וההפחדות של משרד הבריאות אז איך נעזור להם? נזריק להם חיסון...👇",2
מקווה ש illness. זה לא מיסוך עשן לקורונה כי אם כן אז הוא לא משחק גם נגד סיטי,0
מזל שאת לא נפתלי בנט,0
"3-IDF on Jawhara tower strike: building contained intel staff, General Staff of West Bank ops, propaganda unit, and Gaza Brigade of Hamas. ""Prior to strike, IDF warned civilians in building to evacuate, gave them sufficient time to exit."" ",0
"החרדים היו חוד החנית של פשעי הקורונה. בדיונים, בתקציבים וברוח הגבית שהם העניקו לאנשי המקצוע.",1
"אנא - כל השרשור.  אנחנו בשלב המסוכן ביותר של המגיפה. צאו והתחסנו כעת.  אתמול תמכתי ללא סייג בהמלצות משרד הבריאות בממשלה ליציאה זהירה. יש מי שמפרש את חולשת הסגר ואי היכולת להשיג ירידה דרמטית בהדבקות כעדות שיש לפתוח הכל מייד. ולא היא- איבדנו את בלם החירום, יש להתנהל בזהירות מירבית.",1
"החיסונים לא יועילו למעל 5,000 משפחות הרוסות שקברו את יקיריהם בגלל ראש ממשלה מושחת, שקרן ופופוליסט שפועל למען האינטרסים שלו עצמו.",1
בימים האחרונים היינו עדים להתפרעויות אלימות בירושלים בהשפעת גורמים מתסיסים.   במהלך סוף השבוע קיימתי הערכות מצב שוטפות עם כל גופי הביטחון. אנחנו לא נאפשר לאף גורם קיצוני לערער את השקט בירושלים. נשליט בה חוק וסדר - בתקיפות ובאחריות,0
